cenario;trecho;area_km2;Q_m3s;h_m;z_talvegue_m;z_linha_dagua_m;declividade;n_manning
sem_barragem;224;416,8;622;1,37;32,4;33,8;0,03438999876379967;0,063
sem_barragem;225;421,0;627;0,66;42,8;43,5;0,03674999997019768;0,069
sem_barragem;226;424,4;632;0,38;25,0;25,4;0,04574999958276749;0,067
sem_barragem;227;425,6;633;0,66;24,1;24,8;0,04495000094175339;0,055
sem_barragem;228;426,4;634;1,51;60,3;61,8;0,037289999425411224;0,061
sem_barragem;229;427,2;635;0,69;28,4;29,1;0,028620000928640366;0,063
sem_barragem;230;428,4;637;1,18;50,3;51,5;0,02377999946475029;0,062
sem_barragem;231;430,0;639;0,61;23,1;23,7;0,041099999099969864;0,063
sem_barragem;232;431,1;640;0,81;26,5;27,3;0,04140999913215637;0,06
sem_barragem;233;433,7;643;1,08;25,7;26,8;0,03172000125050545;0,063
sem_barragem;234;434,2;644;2,08;53,3;55,4;0,029850000515580177;0,062
sem_barragem;235;436,3;647;2,8;51,8;54,6;0,005539999809116125;0,063
sem_barragem;236;438,6;649;1,18;49,3;50,5;0,025709999725222588;0,063
sem_barragem;237;443,9;656;0,53;25,3;25,8;0,022530000656843185;0,065
sem_barragem;238;450,6;664;0,41;24,8;25,2;0,005280000157654285;0,061
sem_barragem;239;453,2;668;1,41;23,3;24,7;0,006130000110715628;0,067
sem_barragem;240;454,0;669;1,78;21,9;23,7;0,004610000178217888;0,046
sem_barragem;241;454,6;670;5,56;24,0;29,6;0,0042500002309679985;0,069
sem_barragem;242;456,0;671;5,03;21,8;26,8;0,003930000122636557;0,069
sem_barragem;243;463,4;680;0,31;24,2;24,5;0,00812000036239624;0,061
sem_barragem;244;463,4;681;5,55;22,6;28,1;0,0022899999748915434;0,035
sem_barragem;245;476,5;697;0,82;36,0;36,8;0,025210000574588776;0,066
sem_barragem;246;481,0;702;2,66;45,5;48,2;0,004780000075697899;0,065
sem_barragem;247;487,0;710;1,01;23,1;24,1;0,02191999927163124;0,068
sem_barragem;248;488,5;712;1,25;19,9;21,1;0,021209999918937683;0,068
sem_barragem;249;488,9;712;1,35;23,1;24,4;0,021159999072551727;0,05
sem_barragem;250;489,2;713;1,33;25,3;26,7;0,020959999412298203;0,067
sem_barragem;251;493,0;717;4,83;40,5;45,3;0,0013099999632686377;0,065
sem_barragem;252;494,1;719;0,24;39,0;39,2;0,013849999755620956;0,059
sem_barragem;253;501,8;728;2,17;23,1;25,2;0,00431999983265996;0,065
sem_barragem;254;504,6;732;1,48;19,4;20,9;0,0188400000333786;0,068
sem_barragem;255;506,2;734;2,36;38,0;40,4;0,017340000718832016;0,066
sem_barragem;256;508,8;737;3,76;36,4;40,1;0,001560000004246831;0,067
sem_barragem;257;510,0;738;3,27;34,5;37,8;0,00203000009059906;0,067
sem_barragem;258;513,9;743;1,74;32,0;33,7;0,013770000077784061;0,068
sem_barragem;259;516,7;746;1,02;16,6;17,6;0,014379999600350857;0,062
sem_barragem;260;517,7;748;2,08;30,5;32,6;0,015110000036656857;0,063
sem_barragem;261;518,3;749;0,91;29,5;30,4;0,012539999559521675;0,057
sem_barragem;262;519,1;749;2,12;29,5;31,6;0,013030000030994415;0,06
sem_barragem;263;522,8;754;0,69;29,0;29,7;0,029529999941587448;0,062
sem_barragem;264;528,2;761;1,38;40,0;41,4;0,030009999871253967;0,066
sem_barragem;265;529,7;762;1,13;39,7;40,9;0,024800000712275505;0,051
sem_barragem;266;530,3;763;1,67;14,9;16,5;0,0028899998869746923;0,043
sem_barragem;267;531,0;764;1,17;25,2;26,4;0,024390000849962234;0,058
sem_barragem;268;531,7;765;1,34;14,8;16,2;0,02092999964952469;0,052
sem_barragem;269;531,9;765;3,55;33,0;36,6;0,022059999406337738;0,066
sem_barragem;270;535,4;769;1,92;29,7;31,6;0,017629999667406082;0,069
sem_barragem;271;538,9;774;3,36;31,5;34,9;0,0033199999015778303;0,069
sem_barragem;272;542,4;778;4,03;28,5;32,5;0,0017099999822676182;0,068
sem_barragem;273;546,7;783;3,23;28,4;31,6;0,0029800001066178083;0,067
sem_barragem;274;549,3;786;3,92;26,9;30,8;0,004399999976158142;0,068
sem_barragem;275;550,3;788;3,24;24,4;27,6;0,003220000071451068;0,066
sem_barragem;276;552,6;790;3,65;21,5;25,1;0,0021200000774115324;0,065
sem_barragem;277;562,4;802;4,96;20,0;25,0;0,002689999993890524;0,07
sem_barragem;278;565,3;806;2,53;19,0;21,5;0,002630000002682209;0,07
sem_barragem;279;570,9;813;5,87;17,5;23,4;0,0013099999632686377;0,069
sem_barragem;280;572,1;814;4,8;16,5;21,3;0,001610000035725534;0,068
sem_barragem;281;575,0;818;4,53;15,5;20,0;0,0015200000489130616;0,066
sem_barragem;282;576,5;819;7,29;14,0;21,3;0,0007200000109151006;0,068
sem_barragem;283;581,1;825;0,79;21,3;22,1;0,009499999694526196;0,065
sem_barragem;284;582,3;826;5,95;20,3;26,2;0,0010000000474974513;0,047
sem_barragem;285;596,6;843;1,11;20,0;21,1;0,001769999973475933;0,064
sem_barragem;286;605,7;854;0,34;20,7;21,0;0,19077999889850616;0,06
sem_barragem;287;608,0;857;4,92;232,0;236,9;0,003930000122636557;0,061
sem_barragem;288;610,3;860;5,22;228,1;233,3;0,002689999993890524;0,06
sem_barragem;289;614,4;865;0,75;17,6;18,4;0,18306000530719757;0,065
sem_barragem;290;616,6;868;2,72;15,5;18,2;0,0015399999683722854;0,06
sem_barragem;291;618,5;870;1,03;221,2;222,3;0,18336999416351318;0,052
sem_barragem;292;620,2;872;0,29;217,0;217,3;0,17831000685691833;0,063
sem_barragem;293;626,2;879;1,7;14,1;15,8;0,001979999942705035;0,046
sem_barragem;294;627,1;880;2,17;12,6;14,8;0,002360000042244792;0,035
sem_barragem;295;633,1;887;2,21;11,0;13,2;0,00215000007301569;0,063
sem_barragem;296;640,7;896;1,22;10,8;12,0;0,002300000051036477;0,061
sem_barragem;297;642,8;899;0,9;10,5;11,4;0,002240000059828162;0,038
sem_barragem;298;645,0;901;0,46;9,7;10,2;0,15000000596046448;0,048
sem_barragem;299;647,9;905;0,12;178,5;178,6;0,15015000104904175;0,063
sem_barragem;300;657,7;916;1,67;171,0;172,7;0,14860999584197998;0,064
sem_barragem;301;666,1;926;5,5;165,6;171,1;0,007089999970048666;0,064
sem_barragem;302;668,2;929;4,91;161,0;165,9;0,006279999855905771;0,064
sem_barragem;303;669,2;930;5,41;154,5;159,9;0,004360000137239695;0,061
sem_barragem;304;676,2;938;5,02;151,5;156,6;0,0040799998678267;0,061
sem_barragem;305;685,2;949;1,17;14,0;15,1;0,12264999747276306;0,069
sem_barragem;306;686,5;950;2,14;12,1;14,2;0,002219999907538295;0,051
sem_barragem;307;688,9;953;0,95;11,7;12,6;0,004769999999552965;0,043
sem_barragem;308;691,7;957;0,62;10,6;11,3;0,11992999911308289;0,067
sem_barragem;309;692,6;958;0,91;136,0;136,9;0,11527000367641449;0,047
sem_barragem;310;694,5;960;0,76;9,8;10,5;0,11034999787807465;0,053
sem_barragem;311;695,3;961;5,48;131,0;136,5;0,004360000137239695;0,064
sem_barragem;312;697,6;963;0,74;123,9;124,6;0,10385999828577042;0,053
sem_barragem;313;698,4;964;0,51;9,2;9,7;0,09872999787330627;0,043
sem_barragem;314;699,8;966;1,32;39,0;40,3;0,03189999982714653;0,05
sem_barragem;315;701,5;968;1,59;115,0;116,6;0,09855999797582626;0,058
sem_barragem;316;702,6;969;5,17;110,5;115,7;0,00865000020712614;0,065
sem_barragem;317;704,5;972;0,5;105,5;106,0;0,08844000101089478;0,052
sem_barragem;318;718,1;987;2,89;38,5;41,4;0,06255999952554703;0,067
sem_barragem;319;719,0;989;2,53;102,0;104,5;0,0580499991774559;0,065
sem_barragem;320;719,8;989;3,02;69,1;72,1;0,05796999856829643;0,065
sem_barragem;321;724,6;995;3,11;98,5;101,6;0,055810000747442245;0,066
