nome;potencia_MW;area_drenagem_km2;cota_NA_atual_m;area_espelho_atual_km2;altura_cenario_m;volume_limite_upper_hm3;percentual_do_necessario;custo_baixo_MRS;custo_base_MRS;custo_alto_MRS
Autódromo;24,0;1784.7;282.0;0,38;5;1,7;0,05263157894736842;2,4050030891597483;4,901601830663615;8,870830314085104
Autódromo;24,0;1784.7;282.0;0,38;8;3,2;0,09907120743034056;4,52706463841835;9,226544622425628;16,698033532395492
Autódromo;24,0;1784.7;282.0;0,38;10;4,4;0,13622291021671828;6,224713877825232;12,68649885583524;22,959796107043804
Autódromo;24,0;1784.7;282.0;0,38;15;8,2;0,25386996904024767;11,60060313594702;23,64302059496567;42,78871092676344
Autódromo;24,0;1784.7;282.0;0,38;20;13,1;0,4055727554179567;18,53267086352512;37,77116704805491;68,35757477324404
São Paulo;16,0;1698.4;328.5;0,01;1;0,0;0,0;0,0;0,0;0,0
São Paulo;16,0;1698.4;328.5;0,01;2;0,1;0,0030959752321981426;0,14147076995057345;0,2883295194508009;0,5218135478873591
São Paulo;16,0;1698.4;328.5;0,01;3;0,2;0,006191950464396285;0,2829415399011469;0,5766590389016018;1,0436270957747182
São Paulo;16,0;1698.4;328.5;0,01;5;0,4;0,01238390092879257;0,5658830798022938;1,1533180778032035;2,0872541915494365
São Paulo;16,0;1698.4;328.5;0,01;8;1,1;0,03405572755417957;1,556178469456308;3,17162471395881;5,739949026760951
São Paulo;16,0;1698.4;328.5;0,01;10;1,8;0,05572755417956656;2,546473859110322;5,189931350114416;9,392643861972465
São Paulo;16,0;1698.4;328.5;0,01;15;4,2;0,13003095975232198;5,9417723379240845;12,109839816933638;21,916169011269083
São Paulo;16,0;1698.4;328.5;0,01;20;7,8;0,24148606811145512;11,034720056144728;22,489702517162467;40,70145673521401
Boa Fé;24,0;1611.0;369.0;0,07;1;0,0;0,0;0,0;0,0;0,0
Boa Fé;24,0;1611.0;369.0;0,07;2;0,1;0,0030959752321981426;0,14147076995057345;0,2883295194508009;0,5218135478873591
Boa Fé;24,0;1611.0;369.0;0,07;3;0,4;0,01238390092879257;0,5658830798022938;1,1533180778032035;2,0872541915494365
Boa Fé;24,0;1611.0;369.0;0,07;5;1,5;0,04643962848297214;2,1220615492586017;4,324942791762013;7,8272032183103875
Boa Fé;24,0;1611.0;369.0;0,07;8;3,5;0,10835913312693499;4,95147694827007;10,09153318077803;18,26347417605757
Boa Fé;24,0;1611.0;369.0;0,07;10;4,9;0,151702786377709;6,932067727578099;14,128146453089244;25,568863846480596
Boa Fé;24,0;1611.0;369.0;0,07;15;9,1;0,28173374613003094;12,873840065502183;26,23798627002288;47,48503285774968
Boa Fé;24,0;1611.0;369.0;0,07;20;14,1;0,43653250773993807;19,947378563030853;40,65446224256292;73,57571025211763
Caçador;22,5;1535.0;426.2;0,1;1;0,0;0,0;0,0;0,0;0,0
Caçador;22,5;1535.0;426.2;0,1;2;0,2;0,006191950464396285;0,2829415399011469;0,5766590389016018;1,0436270957747182
Caçador;22,5;1535.0;426.2;0,1;3;0,4;0,01238390092879257;0,5658830798022938;1,1533180778032035;2,0872541915494365
Caçador;22,5;1535.0;426.2;0,1;5;1,2;0,03715170278637771;1,6976492394068812;3,4599542334096105;6,261762574648309
Caçador;22,5;1535.0;426.2;0,1;8;4,2;0,13003095975232198;5,9417723379240845;12,109839816933638;21,916169011269083
Caçador;22,5;1535.0;426.2;0,1;10;7,4;0,22910216718266255;10,468836976342436;21,336384439359264;38,614202543664575
Caçador;22,5;1535.0;426.2;0,1;15;20,6;0,6377708978328174;29,14297860981813;59,39588100686498;107,49359086479599
Caçador;22,5;1535.0;426.2;0,1;20;42,6;1,3188854489164086;60,26654799894429;122,82837528604118;222,292571400015
Saltinho RS;27,3;1198.4;533.0;0,03;1;0,0;0,0;0,0;0,0;0,0
Saltinho RS;27,3;1198.4;533.0;0,03;2;0,1;0,0030959752321981426;0,14147076995057345;0,2883295194508009;0,5218135478873591
Saltinho RS;27,3;1198.4;533.0;0,03;3;0,1;0,0030959752321981426;0,14147076995057345;0,2883295194508009;0,5218135478873591
Saltinho RS;27,3;1198.4;533.0;0,03;5;0,3;0,009287925696594427;0,4244123098517203;0,8649885583524026;1,5654406436620774
Saltinho RS;27,3;1198.4;533.0;0,03;8;1,0;0,030959752321981424;1,4147076995057344;2,8832951945080088;5,218135478873592
Saltinho RS;27,3;1198.4;533.0;0,03;10;1,8;0,05572755417956656;2,546473859110322;5,189931350114416;9,392643861972465
Saltinho RS;27,3;1198.4;533.0;0,03;15;4,9;0,151702786377709;6,932067727578099;14,128146453089244;25,568863846480596
Saltinho RS;27,3;1198.4;533.0;0,03;20;10,6;0,3281733746130031;14,995901614760783;30,562929061784892;55,31223607606006
Palanquinho;24,2;789.4;510.5;0,05;1;0,0;0,0;0,0;0,0;0,0
Palanquinho;24,2;789.4;510.5;0,05;2;0,1;0,0030959752321981426;0,14147076995057345;0,2883295194508009;0,5218135478873591
Palanquinho;24,2;789.4;510.5;0,05;3;0,2;0,006191950464396285;0,2829415399011469;0,5766590389016018;1,0436270957747182
Palanquinho;24,2;789.4;510.5;0,05;5;0,5;0,015479876160990712;0,7073538497528672;1,4416475972540044;2,609067739436796
Palanquinho;24,2;789.4;510.5;0,05;8;1,4;0,043343653250773995;1,9805907793080282;4,036613272311212;7,305389670423027
Palanquinho;24,2;789.4;510.5;0,05;10;2,1;0,06501547987616099;2,9708861689620423;6,054919908466819;10,958084505634542
Palanquinho;24,2;789.4;510.5;0,05;15;4,3;0,13312693498452013;6,083243107874658;12,398169336384438;22,43798255915644
Palanquinho;24,2;789.4;510.5;0,05;20;7,0;0,21671826625386997;9,90295389654014;20,18306636155606;36,52694835211514
Criúva;23,9;670.4;660.0;0,51;1;0,2;0,006191950464396285;0,2829415399011469;0,5766590389016018;1,0436270957747182
