cenario;tempo_h;Q_natural_Estrela_m3s;Q_resultante_Estrela_m3s;Q_fora_E12_m3s
C01;355,0;600,2903681908618;2539,6104852425665;113,64138955843674
C01;356,0;600,2770705791094;2539,6001091987796;113,63887217825302
C01;357,0;600,2643756824643;2539,590198239535;113,63646889848796
C01;358,0;600,2522565061995;2539,5807318003704;113,63417460875083
C01;359,0;600,2406872479359;2539,571690211587;113,6319844243752
C01;360,0;600,2296432458403;2539,5630546600623;113,62989367661224
C01;361,0;600,2191009290294;2539,5548071526614;113,62789790324149
C01;362,0;600,2090377700872;2539,5469304811745;113,62599283958207
C01;363,0;600,1994322396093;2539,53940818871;113,62417440988739
C01;364,0;600,1902637626896;2539,5322245375046;113,62243871910755
C01;365,0;600,1815126772668;2539,525364478078;113,62078204500402
C01;366,0;600,1731601942558;2539,5188136196707;113,61920083060191
C01;367,0;600,1651883593863;2539,512558201942;113,61769167696575
C01;368,0;600,1575800166792;2539,5065850678393;113,61625133628515
C01;369,0;600,1503187734919;2539,5008816376194;113,61487670525747
C01;370,0;600,1433889670657;2539,495435883965;113,61356481875491
C01;371,0;600,1367756325129;2539,490236308141;113,61231284376413
C01;372,0;600,1304644721836;2539,48527191717;113,61111807358695
C01;373,0;600,1244418263515;2539,4805322019674;113,60997792229112
C01;374,0;600,1186946451675;2539,4760071163983;113,6088899194005
C01;375,0;600,1132104618223;2539,471687057231;113,60785170481475
C01;376,0;600,1079773668719;2539,4675628449327;113,60686102394868
C01;377,0;600,1029839836726;2539,463625705284;113,60591572308192
C01;378,0;600,0982194448816;2539,459867251778;113,60501374491017
C01;379,0;600,0936733699752;2539,4562794687663;113,60415312428927
C01;380,0;600,089335843745;2539,452854695319;113,60333198416413
C01;381,0;600,0851973957257;2539,449585609782;113,6025485316744
C01;382,0;600,0812489805202;2539,4464652149877;113,60180105442957
C01;383,0;600,0774819589788;2539,443486824101;113,6010879169462
C01;384,0;600,0738880801994;2539,440644047067;113,60040755724023
C01;385,0;600,0704594643126;2539,437930777647;113,59975848356811
C01;386,0;600,067188586018;2539,435341180998;113,59913927130987
C01;387,0;600,0640682588383;2539,4328696818;113,59854855998854
C01;388,0;600,0610916200643;2539,430510952886;113,59798505041981
C01;389,0;600,058252116356;2539,428259904358;113,59744750198632
C01;390,0;600,0555434899763;2539,4261116731795;113,59693473003146
C01;391,0;600,0529597656265;2539,424061613209;113,59644560336724
C01;392,0;600,05049523786;2539,4221052856683;113,59597904189161
C01;393,0;600,0481444590486;2539,4202384500245;113,59553401431023
C01;394,0;600,045902227877;2539,4184570552593;113,59510953595851
C01;395,0;600,0437635783442;2539,41675723152;113,59470466671927
C01;396,0;600,0417237692473;2539,415135282132;113,5943185090321
C01;397,0;600,0397782741302;2539,4135876759583;113,59395020599045
C01;398,0;600,0379227716742;2539,41211104009;113,59359893952242
C01;399,0;600,036153136513;2539,410702152854;113,59326392865204
C01;400,0;600,0344654304527;2539,4093579371192;113,59294442783707
C01;401,0;600,0328558940803;2539,4080754539073;113,5926397253804
C01;402,0;600,0313209387431;2539,4068518962695;113,59234914191165
C01;403,0;600,0298571388821;2539,405684583435;113,59207202893593
C01;404,0;600,0284612247067;2539,404570955212;113,59180776744681
C01;405,0;600,0271300751921;2539,4035085666405;113,59155576660093
C01;406,0;600,0258607113882;2539,402495082869;113,5913154624512
C01;407,0;600,024650290026;2539,401528274261;113,59108631673632
C01;408,0;600,0234960974063;2539,4006060117163;113,59086781572404
C01;409,0;600,0223955435619;2539,399726262194;113,59065946910582
C01;410,0;600,021346156678;2539,3988870844314;113,59046080894066
C01;411,0;600,0203455777615;2539,39808662486;113,59027138864602
C01;412,0;600,0193915555484;2539,397323113682;113,59009078203343
C01;413,0;600,0184819416367;2539,3965948611435;113,58991858238743
C01;414,0;600,0176146858373;2539,3959002539495;113,58975440158534
C01;415,0;600,0167878317332;2539,3952377518526;113,58959786925642
C01;416,0;600,0159995124347;2539,3946058843785;113,58944863197856
C01;417,0;600,0152479465273;2539,394003247711;113,58930635251082
C01;418,0;600,014531434198;2539,3934285017026;113,5891707090605
C01;419,0;600,013848353537;2539,39288036702;113,58904139458268
C01;420,0;600,013197157004;2539,392357622418;113,58891811611146
C01;421,0;600,0125763680536;2539,391859102135;113,58880059412095
C01;422,0;600,0119845779109;2539,3913836933966;113,58868856191502
C01;423,0;600,0114204424929;2539,3909303340392;113,58858176504437
C01;424,0;600,0108826794675;2539,3904980102325;113,58847996074984
C01;425,0;600,0103700654454;2539,3900857543053;113,58838291743069
C01;426,0;600,0098814332969;2539,3896926426687;113,58829041413681
C01;427,0;600,0094156695905;2539,3893177938276;113,58820224008372
C01;428,0;600,0089717121471;2539,388960366486;113,5881181941895
C01;429,0;600,0085485477026;2539,3886195577343;113,5880380846325
C01;430,0;600,0081452096784;2539,3882946013136;113,58796172842898
C01;431,0;600,0077607760502;2539,3879847659646;113,58788895102987
C01;432,0;600,0073943673139;2539,387689353844;113,58781958593565
C01;433,0;600,0070451445436;2539,3874076990173;113,5877534743287
C01;434,0;600,006712307537;2539,387139166008;113,58769046472213
C01;435,0;600,0063950930448;2539,386883148429;113,58763041262469
