evento_guapore;pico_guapore_total_m3s;eixos_antas;eixos_forqueta;regra_operativa;defasagem_guapore_h;altura_gu1_m;pico_natural_estrela_m3s;pico_resultante_estrela_m3s;reducao_pico_pct;acima_limiar_4000_m3s;area_controlada_antas_km2;area_controlada_gu1_km2;area_controlada_forqueta_km2;volume_gu1_hm3;volume_antas_hm3;volume_forqueta_hm3;volume_total_hm3;reservatorio_saturou;observacao
pico_historico_santa_lucia;5106,3;E02+E04+E01+E05+E08+E12;FQ2;seca;0;120,0;12362,3;6165,8;50,12;2165,8;15759,8;1993,7;2204,2;378,9;2337,7;148,4;2865,1;True;"GU1 preliminar; CAV sintética e pico diário transposto"
pico_historico_santa_lucia;5106,3;E02+E04+E01+E05+E08+E12;FQ2;comportas;0;0,0;12362,3;12015,2;2,81;8015,2;15759,8;0,0;2204,2;0,0;2096,9;89,7;2186,7;True;"GU1 preliminar; CAV sintética e pico diário transposto"
pico_historico_santa_lucia;5106,3;E02+E04+E01+E05+E08+E12;FQ2;comportas;0;30,0;12362,3;12044,2;2,57;8044,2;15759,8;1993,7;2204,2;13,3;2096,9;89,7;2200,0;True;"GU1 preliminar; CAV sintética e pico diário transposto"
pico_historico_santa_lucia;5106,3;E02+E04+E01+E05+E08+E12;FQ2;comportas;0;50,0;12362,3;12044,2;2,57;8044,2;15759,8;1993,7;2204,2;54,2;2096,9;89,7;2240,9;True;"GU1 preliminar; CAV sintética e pico diário transposto"
pico_historico_santa_lucia;5106,3;E02+E04+E01+E05+E08+E12;FQ2;comportas;0;70,0;12362,3;11681,6;5,51;7681,6;15759,8;1993,7;2204,2;140,1;2096,9;89,7;2326,8;True;"GU1 preliminar; CAV sintética e pico diário transposto"
pico_historico_santa_lucia;5106,3;E02+E04+E01+E05+E08+E12;FQ2;comportas;0;100,0;12362,3;8437,3;31,75;4437,3;15759,8;1993,7;2204,2;372,0;2096,9;89,7;2558,6;True;"GU1 preliminar; CAV sintética e pico diário transposto"
pico_historico_santa_lucia;5106,3;E02+E04+E01+E05+E08+E12;FQ2;comportas;0;120,0;12362,3;8437,3;31,75;4437,3;15759,8;1993,7;2204,2;372,0;2096,9;89,7;2558,6;True;"GU1 preliminar; CAV sintética e pico diário transposto"
pico_historico_santa_lucia;5106,3;SEM_OBRA;SEM_FORQUETA;seca;6;0,0;11967,1;11967,1;0,0;7967,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;False;"GU1 preliminar; CAV sintética e pico diário transposto"
pico_historico_santa_lucia;5106,3;SEM_OBRA;SEM_FORQUETA;seca;6;30,0;11967,1;11999,4;-0,27;7999,4;0,0;1993,7;0,0;21,7;0,0;0,0;21,7;True;"GU1 preliminar; CAV sintética e pico diário transposto"
pico_historico_santa_lucia;5106,3;SEM_OBRA;SEM_FORQUETA;seca;6;50,0;11967,1;11999,4;-0,27;7999,4;0,0;1993,7;0,0;87,2;0,0;0,0;87,2;True;"GU1 preliminar; CAV sintética e pico diário transposto"
pico_historico_santa_lucia;5106,3;SEM_OBRA;SEM_FORQUETA;seca;6;70,0;11967,1;11999,4;-0,27;7999,4;0,0;1993,7;0,0;223,9;0,0;0,0;223,9;True;"GU1 preliminar; CAV sintética e pico diário transposto"
pico_historico_santa_lucia;5106,3;SEM_OBRA;SEM_FORQUETA;seca;6;100,0;11967,1;11842,4;1,04;7842,4;0,0;1993,7;0,0;377,3;0,0;0,0;377,3;False;"GU1 preliminar; CAV sintética e pico diário transposto"
pico_historico_santa_lucia;5106,3;SEM_OBRA;SEM_FORQUETA;seca;6;120,0;11967,1;11842,4;1,04;7842,4;0,0;1993,7;0,0;378,9;0,0;0,0;378,9;False;"GU1 preliminar; CAV sintética e pico diário transposto"
pico_historico_santa_lucia;5106,3;SEM_OBRA;SEM_FORQUETA;comportas;6;0,0;11967,1;11967,1;0,0;7967,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;False;"GU1 preliminar; CAV sintética e pico diário transposto"
pico_historico_santa_lucia;5106,3;SEM_OBRA;SEM_FORQUETA;comportas;6;30,0;11967,1;11999,4;-0,27;7999,4;0,0;1993,7;0,0;13,3;0,0;0,0;13,3;True;"GU1 preliminar; CAV sintética e pico diário transposto"
pico_historico_santa_lucia;5106,3;SEM_OBRA;SEM_FORQUETA;comportas;6;50,0;11967,1;11999,4;-0,27;7999,4;0,0;1993,7;0,0;54,2;0,0;0,0;54,2;True;"GU1 preliminar; CAV sintética e pico diário transposto"
pico_historico_santa_lucia;5106,3;SEM_OBRA;SEM_FORQUETA;comportas;6;70,0;11967,1;11999,4;-0,27;7999,4;0,0;1993,7;0,0;140,1;0,0;0,0;140,1;True;"GU1 preliminar; CAV sintética e pico diário transposto"
pico_historico_santa_lucia;5106,3;SEM_OBRA;SEM_FORQUETA;comportas;6;100,0;11967,1;11842,4;1,04;7842,4;0,0;1993,7;0,0;372,0;0,0;0,0;372,0;False;"GU1 preliminar; CAV sintética e pico diário transposto"
pico_historico_santa_lucia;5106,3;SEM_OBRA;SEM_FORQUETA;comportas;6;120,0;11967,1;11842,4;1,04;7842,4;0,0;1993,7;0,0;372,0;0,0;0,0;372,0;False;"GU1 preliminar; CAV sintética e pico diário transposto"
pico_historico_santa_lucia;5106,3;SEM_OBRA;FQ2;seca;6;0,0;13071,9;13115,7;-0,34;9115,7;0,0;0,0;2204,2;0,0;0,0;148,4;148,4;True;"GU1 preliminar; CAV sintética e pico diário transposto"
pico_historico_santa_lucia;5106,3;SEM_OBRA;FQ2;seca;6;30,0;13071,9;13169,5;-0,75;9169,5;0,0;1993,7;2204,2;21,7;0,0;148,4;170,1;True;"GU1 preliminar; CAV sintética e pico diário transposto"
pico_historico_santa_lucia;5106,3;SEM_OBRA;FQ2;seca;6;50,0;13071,9;13169,5;-0,75;9169,5;0,0;1993,7;2204,2;87,2;0,0;148,4;235,6;True;"GU1 preliminar; CAV sintética e pico diário transposto"
pico_historico_santa_lucia;5106,3;SEM_OBRA;FQ2;seca;6;70,0;13071,9;13116,9;-0,34;9116,9;0,0;1993,7;2204,2;223,9;0,0;148,4;372,3;True;"GU1 preliminar; CAV sintética e pico diário transposto"
pico_historico_santa_lucia;5106,3;SEM_OBRA;FQ2;seca;6;100,0;13071,9;12026,6;8,0;8026,6;0,0;1993,7;2204,2;377,3;0,0;148,4;525,8;True;"GU1 preliminar; CAV sintética e pico diário transposto"
pico_historico_santa_lucia;5106,3;SEM_OBRA;FQ2;seca;6;120,0;13071,9;12026,6;8,0;8026,6;0,0;1993,7;2204,2;378,9;0,0;148,4;527,3;True;"GU1 preliminar; CAV sintética e pico diário transposto"
pico_historico_santa_lucia;5106,3;SEM_OBRA;FQ2;comportas;6;0,0;13071,9;13129,9;-0,44;9129,9;0,0;0,0;2204,2;0,0;0,0;89,7;89,7;True;"GU1 preliminar; CAV sintética e pico diário transposto"
pico_historico_santa_lucia;5106,3;SEM_OBRA;FQ2;comportas;6;30,0;13071,9;13176,8;-0,8;9176,8;0,0;1993,7;2204,2;13,3;0,0;89,7;103,0;True;"GU1 preliminar; CAV sintética e pico diário transposto"
pico_historico_santa_lucia;5106,3;SEM_OBRA;FQ2;comportas;6;50,0;13071,9;13176,8;-0,8;9176,8;0,0;1993,7;2204,2;54,2;0,0;89,7;143,9;True;"GU1 preliminar; CAV sintética e pico diário transposto"
pico_historico_santa_lucia;5106,3;SEM_OBRA;FQ2;comportas;6;70,0;13071,9;13176,8;-0,8;9176,8;0,0;1993,7;2204,2;140,1;0,0;89,7;229,8;True;"GU1 preliminar; CAV sintética e pico diário transposto"
pico_historico_santa_lucia;5106,3;SEM_OBRA;FQ2;comportas;6;100,0;13071,9;12026,6;8,0;8026,6;0,0;1993,7;2204,2;372,0;0,0;89,7;461,7;True;"GU1 preliminar; CAV sintética e pico diário transposto"
pico_historico_santa_lucia;5106,3;SEM_OBRA;FQ2;comportas;6;120,0;13071,9;12026,6;8,0;8026,6;0,0;1993,7;2204,2;372,0;0,0;89,7;461,7;True;"GU1 preliminar; CAV sintética e pico diário transposto"
pico_historico_santa_lucia;5106,3;E02+E04+E01+E05+E08+E12;SEM_FORQUETA;seca;6;0,0;11967,1;7482,8;37,47;3482,8;15759,8;0,0;0,0;0,0;2337,7;0,0;2337,7;True;"GU1 preliminar; CAV sintética e pico diário transposto"
pico_historico_santa_lucia;5106,3;E02+E04+E01+E05+E08+E12;SEM_FORQUETA;seca;6;30,0;11967,1;7488,6;37,42;3488,6;15759,8;1993,7;0,0;21,7;2337,7;0,0;2359,4;True;"GU1 preliminar; CAV sintética e pico diário transposto"
pico_historico_santa_lucia;5106,3;E02+E04+E01+E05+E08+E12;SEM_FORQUETA;seca;6;50,0;11967,1;7488,6;37,42;3488,6;15759,8;1993,7;0,0;87,2;2337,7;0,0;2424,9;True;"GU1 preliminar; CAV sintética e pico diário transposto"
pico_historico_santa_lucia;5106,3;E02+E04+E01+E05+E08+E12;SEM_FORQUETA;seca;6;70,0;11967,1;6932,5;42,07;2932,5;15759,8;1993,7;0,0;223,9;2337,7;0,0;2561,6;True;"GU1 preliminar; CAV sintética e pico diário transposto"
