alternativa_antas;eixos_antas;cenario_forqueta;eixos_forqueta;regra_operativa;fisicamente_admissivel;pico_natural_estrela_m3s;pico_resultante_estrela_m3s;reducao_pico_pct;acima_limiar_preliminar_m3s;razao_limiar_preliminar;reducao_em_relacao_evento_2023_pct;area_controlada_antas_km2;area_controlada_forqueta_km2;volume_usado_antas_hm3;volume_usado_forqueta_hm3;volume_usado_total_hm3;algum_reservatorio_saturou;observacao
ALT-G;E04;FQ1+FQ2_INVIAVEL;FQ1+FQ2;comportas;False;16903,1;12268,3;27,42;8268,3;3,067;28,92;7497,5;2350,1;1060,8;223,5;1284,2;True;"incluir apenas como limite teórico; FQ1 e FQ2 interferem por cota"
ALT-G;E04;FQ1+FQ2_INVIAVEL;FQ1+FQ2;convencional;False;16903,1;16386,9;3,05;12386,9;4,097;5,06;7497,5;2350,1;233,0;44,4;277,4;True;"incluir apenas como limite teórico; FQ1 e FQ2 interferem por cota"
ALT-H;E12;SEM_FORQUETA;-;seca;True;16903,1;16738,4;0,97;12738,4;4,185;3,03;15759,8;0,0;976,5;0,0;976,5;True;
ALT-H;E12;SEM_FORQUETA;-;comportas;True;16903,1;16884,5;0,11;12884,5;4,221;2,18;15759,8;0,0;508,8;0,0;508,8;True;
ALT-H;E12;SEM_FORQUETA;-;convencional;True;16903,1;16884,5;0,11;12884,5;4,221;2,18;15759,8;0,0;97,1;0,0;97,1;True;
ALT-H;E12;FQ1;FQ1;seca;True;16903,1;16947,9;-0,27;12947,9;4,237;1,81;15759,8;2350,1;976,5;212,3;1188,7;True;
ALT-H;E12;FQ1;FQ1;comportas;True;16903,1;16901,4;0,01;12901,4;4,225;2,08;15759,8;2350,1;508,8;142,8;651,6;True;
ALT-H;E12;FQ1;FQ1;convencional;True;16903,1;16901,4;0,01;12901,4;4,225;2,08;15759,8;2350,1;97,1;27,8;124,9;True;
ALT-H;E12;FQ2;FQ2;seca;True;16903,1;16748,1;0,92;12748,1;4,187;2,97;15759,8;2204,2;976,5;148,4;1124,9;True;
ALT-H;E12;FQ2;FQ2;comportas;True;16903,1;16900,3;0,02;12900,3;4,225;2,09;15759,8;2204,2;508,8;89,7;598,5;True;
ALT-H;E12;FQ2;FQ2;convencional;True;16903,1;16900,3;0,02;12900,3;4,225;2,09;15759,8;2204,2;97,1;16,6;113,7;True;
ALT-H;E12;FQ1+FQ2_INVIAVEL;FQ1+FQ2;seca;False;16903,1;16947,9;-0,27;12947,9;4,237;1,81;15759,8;2350,1;976,5;229,5;1206,0;True;"incluir apenas como limite teórico; FQ1 e FQ2 interferem por cota"
ALT-H;E12;FQ1+FQ2_INVIAVEL;FQ1+FQ2;comportas;False;16903,1;17007,5;-0,62;13007,5;4,252;1,47;15759,8;2350,1;508,8;223,5;732,3;True;"incluir apenas como limite teórico; FQ1 e FQ2 interferem por cota"
ALT-H;E12;FQ1+FQ2_INVIAVEL;FQ1+FQ2;convencional;False;16903,1;16918,0;-0,09;12918,0;4,23;1,99;15759,8;2350,1;97,1;44,4;141,5;True;"incluir apenas como limite teórico; FQ1 e FQ2 interferem por cota"
ALT-I;E02+E04+E01+E05+E08;SEM_FORQUETA;-;seca;True;16903,1;8601,5;49,11;4601,5;2,15;50,17;14499,3;0,0;2072,2;0,0;2072,2;True;
ALT-I;E02+E04+E01+E05+E08;SEM_FORQUETA;-;comportas;True;16903,1;9309,6;44,92;5309,6;2,327;46,07;14499,3;0,0;1837,6;0,0;1837,6;True;
ALT-I;E02+E04+E01+E05+E08;SEM_FORQUETA;-;convencional;True;16903,1;15801,1;6,52;11801,1;3,95;8,46;14499,3;0,0;497,3;0,0;497,3;True;
ALT-I;E02+E04+E01+E05+E08;FQ1;FQ1;seca;True;16903,1;8917,4;47,24;4917,4;2,229;48,34;14499,3;2350,1;2072,2;212,3;2284,5;True;
ALT-I;E02+E04+E01+E05+E08;FQ1;FQ1;comportas;True;16903,1;9323,6;44,84;5323,6;2,331;45,98;14499,3;2350,1;1837,6;142,8;1980,4;True;
ALT-I;E02+E04+E01+E05+E08;FQ1;FQ1;convencional;True;16903,1;15811,5;6,46;11811,5;3,953;8,4;14499,3;2350,1;497,3;27,8;525,1;True;
ALT-I;E02+E04+E01+E05+E08;FQ2;FQ2;seca;True;16903,1;8605,6;49,09;4605,6;2,151;50,14;14499,3;2204,2;2072,2;148,4;2220,6;True;
ALT-I;E02+E04+E01+E05+E08;FQ2;FQ2;comportas;True;16903,1;9322,7;44,85;5322,7;2,331;45,99;14499,3;2204,2;1837,6;89,7;1927,3;True;
ALT-I;E02+E04+E01+E05+E08;FQ2;FQ2;convencional;True;16903,1;15810,8;6,46;11810,8;3,953;8,4;14499,3;2204,2;497,3;16,6;513,9;True;
ALT-I;E02+E04+E01+E05+E08;FQ1+FQ2_INVIAVEL;FQ1+FQ2;seca;False;16903,1;8917,4;47,24;4917,4;2,229;48,34;14499,3;2350,1;2072,2;229,5;2301,7;True;"incluir apenas como limite teórico; FQ1 e FQ2 interferem por cota"
ALT-I;E02+E04+E01+E05+E08;FQ1+FQ2_INVIAVEL;FQ1+FQ2;comportas;False;16903,1;9450,1;44,09;5450,1;2,363;45,25;14499,3;2350,1;1837,6;223,5;2061,1;True;"incluir apenas como limite teórico; FQ1 e FQ2 interferem por cota"
ALT-I;E02+E04+E01+E05+E08;FQ1+FQ2_INVIAVEL;FQ1+FQ2;convencional;False;16903,1;15821,7;6,4;11821,7;3,955;8,34;14499,3;2350,1;497,3;44,4;541,7;True;"incluir apenas como limite teórico; FQ1 e FQ2 interferem por cota"
ALT-J;E02+E04+E01+E05+E08+E12;SEM_FORQUETA;-;seca;True;16903,1;7005,2;58,56;3005,2;1,751;59,42;15759,8;0,0;2602,2;0,0;2602,2;True;
