t_h;Natural em Estrela;Afluente ao reservatório;Efluente (comportas);Resultante em Estrela
270;579,370811074679;487,148405605996;487,170169448995;579,392574917678
271;579,321904187853;487,107283562074;487,127844584035;579,342465209814
272;579,27570239614;487,068436024817;487,087859793445;579,295126164769
273;579,232058102906;487,031738891553;487,050087458185;579,250406669537
274;579,190831635826;486,997074722556;487,014406807055;579,208163720324
275;579,151890829653;486,964332390224;486,98070355639;579,168261995819
276;579,115110630426;486,933406746286;486,948869568255;579,130573452395
277;579,080372720055;486,904198306151;486,918802526219;579,094976940123
278;579,047565160261;486,876612949519;486,890405627835;579,061357838577
279;579,016582054913;486,85056163647;486,863587292995;579,029607711438
280;578,987323229829;486,825960138228;486,838260887349;578,999623978949
281;578,959693929159;486,802728781881;486,814344460055;578,971309607332
282;578,933604527537;486,780792208342;486,791760495112;578,944572814306
283;578,908970257181;486,760079142897;486,770435675619;578,919326789904
284;578,885710949201;486,740522177683;486,75030066029;578,895489431808
285;578,863750788391;486,722057565519;486,731289871601;578,872983094473
286;578,843018080821;486,704625024488;486,713341295004;578,851734351337
287;578,823445033579;486,688167552736;486,696396288612;578,831673769454
288;578,80496754604;486,672631252974;486,680399402855;578,812735695921
289;578,787525012087;486,657965166174;486,665298209574;578,794858055487
290;578,771060132702;486,644121113992;486,651043140083;578,777982158792
291;578,755518738421;486,631053549489;486,637587331741;578,762052520672
292;578,740849621127;486,618719415694;486,624886482591;578,747016688025
293;578,727004374717;486,607078011631;486,612898713662;578,732825076749
294;578,713937244169;486,596090865418;486,601584438524;578,719430817275
295;578,701604982596;486,585721614072;486,590906239745;578,706789608269
296;578,68996671586;486,575935889669;486,58082875187;578,694859578062
297;578,678983814358;486,566701211543;486,571318550606;578,683601153421
298;578,668619771614;486,557986884204;486,562344047874;578,672976935284
299;578,65884008932;486,549763900675;486,55387539244;578,662951581085
300;578,649612168487;486,54200485097;486,545884375822;578,65349169334
301;578,640905206397;486,534683835449;486,53834434321;578,644565714157
302;578,632690099047;486,527776382794;486,531230109122;578,636143825375
303;578,624939348802;486,521259372355;486,524517877575;578,628197854022
304;578,61762697698;486,515110960653;486,518185166504;578,620701182831
305;578,610728441115;486,509310511815;486,512210736234;578,613628665533
306;578,604220556656;486,503838531734;486,506574521775;578,606956546697
307;578,598081422862;486,498676605757;486,501257568746;578,60066238585
308;578,59229035267;486,493807339725;486,496241972741;578,594724985686
309;578,586827806345;486,489214304174;486,491510821949;578,589124324121
310;578,581675328688;486,484881981544;486,487048142859;578,583841490003
311;578,576815489632;486,480795716233;486,482838848889;578,578858622288
312;578,572231828042;486,476941667336;486,478868691784;578,574158852491
313;578,567908798545;486,473306763943;486,475124215639;578,569726250241
314;578,563831721236;486,46987866285;486,471592713397;578,565545771782
315;578,559986734106;486,466645708558;486,468262185704;578,561603211251
316;578,556360748039;486,463596895437;486,465121301998;578,5578851546
317;578,55294140426;486,460721831939;486,462159363688;578,554378936008
318;578,549717034078;486,458010706762;486,459366269351;578,551072596667
319;578,54667662083;486,455454256838;486,4567324818;578,547954845793
320;578,543809763881;486,453043737072;486,454248996955;578,545015023764
321;578,541106644592;486,450770891725;486,451907314399;578,542243067265
322;578,538557994138;486,448627927356;486,449699409541;578,539629476323
323;578,536155063082;486,446607487233;486,447617707294;578,537165283144
324;578,53388959261;486,444702627155;486,445655057194;578,534842022649
325;578,531753787336;486,44290679258;486,443804709867;578,532651704623
326;578,529740289594;486,441213797013;486,442060294797;578,530586787377
327;578,527842155139;486,439617801572;486,440415799293;578,52864015286
328;578,52605283018;486,438113295677;486,438865548624;578,526805083128
329;578,524366129667;486,436695078793;486,437404187235;578,525075238108
330;578,522776216773;486,435358243185;486,436026660989;578,523444634578
331;578,521277583509;486,434098157603;486,434728200394;578,521907626299
332;578,519865032388;486,432910451883;486,433504304743;578,520458885248
333;578,518533659122;486,431791002384;486,432350727134;578,519093383871
334;578,517278836246;486,430735918228;486,431263460306;578,517806378324
335;578,516096197667;486,429741528302;486,430238723265;578,51659339263
336;578,514981624051;486,428804368974;486,429272948638;578,515450203715
337;578,513931229023;486,42792117249;486,428362770732;578,514372827265
338;578,512941346127;486,427088856009;486,42750501425;578,513357504367
339;578,512008516509;486,426304511247;486,426696683628;578,51240068889
340;578,511129477283;486,425565394693;486,42593495297;578,51149903556
341;578,510301150536;486,424868918367;486,42521715653;578,510649388699
342;578,50952063295;486,424212641091;486,424540779729;578,509848771588
343;578,508785185992;486,423594260243;486,423903450667;578,509094376415
344;578,508092226655;486,423011603973;486,423302932108;578,50838355479
345;578,507439318713;486,422462623843;486,422737113908;578,507713808778
346;578,506824164454;486,421945387886;486,422204005864;578,507082782433
347;578,506244596888;486,421458074044;486,421701730965;578,506488253809
348;578,505698572375;486,420998963978;486,421228519011;578,505928127408
349;578,505184163669;486,420566437216;486,420782700597;578,50540042705
350;578,504699553355;486,420158965632;486,420362701424;578,504903289146
351;578,504243027644;486,419775108234;486,419967036933;578,504434956343
352;578,503812970521;486,419413506238;486,419594307236;578,503993771519
353;578,503407858215;486,419072878422;486,41924319233;578,503578172123
354;578,503026253984;486,418752016741;486,418912447582;578,503186684825
355;578,502666803187;486,41844978218;486,418600899461;578,502817920468
356;578,502328228635;486,41816510085;486,418307441515;578,5024705693
357;578,5020093262;486,417896960291;486,41803103057;578,502143396479
358;578,501708960674;486,417644405996;486,417770683143;578,501835237822
359;578,501426061859;486,417406538115;486,417525472055;578,501544995799
360;578,501159620873;486,41718250836;486,417294523237;578,501271635751
361;578,500908686671;486,416971517067;486,417077012713;578,501014182318
