eixo;altura_m;cota_NA_eixo_m;aproveitamento;situacao;potencia_kW;cota_existente_m;area_exist_km2;afogamento_m
E09;75;181,0;Linha Emília;operacao;19500,00;179,6;2314,1;1,4
E09;85;191,0;Salto Forqueta;operacao;6080,00;190,0;672,3;1,0
E09;85;191,0;Guaporé;operacao;667,20;189,0;2066,4;2,0
E09;120;226,0;Bugrinha;estudo;8,502;221,2;1150,7;4,8
E10;10;81,5;Boa Vista;operacao;705,75;41,6;548,1;39,9
E10;60;131,5;Vale do Leite;operacao;6400,00;130,9;753,4;0,6
E10;65;136,5;Vale Fundo;estudo;5,600;135,7;706,2;0,8
E10;65;136,5;Monte Claro;operacao;130000,00;132,5;12414,0;4,0
E10;70;141,5;Cotiporã;operacao;19500,00;138,1;2447,6;3,4
E10;80;151,5;Nelson José Zanelatto;estudo;5,690;147,2;2079,5;4,3
E10;100;171,5;Monte Cuco;operacao;30000,00;167,4;2143,9;4,1
E10;100;171,5;Foz do Prata;operacao;49365,00;171,3;3776,0;0,2
E10;110;181,5;Linha Emília;operacao;19500,00;179,6;2314,1;1,9
E10;120;191,5;Salto Forqueta;operacao;6080,00;190,0;672,3;1,5
E10;120;191,5;Guaporé;operacao;667,20;189,0;2066,4;2,5
E11;10;67,5;Boa Vista;operacao;705,75;41,6;548,1;25,9
E11;50;107,5;14 de Julho;operacao;100000,00;104,5;12877,0;3,0
E11;75;132,5;Vale do Leite;operacao;6400,00;130,9;753,4;1,6
E11;80;137,5;Vale Fundo;estudo;5,600;135,7;706,2;1,8
E11;80;137,5;Monte Claro;operacao;130000,00;132,5;12414,0;5,0
E11;85;142,5;Cotiporã;operacao;19500,00;138,1;2447,6;4,4
E11;90;147,5;Nelson José Zanelatto;estudo;5,690;147,2;2079,5;0,3
E11;110;167,5;Monte Cuco;operacao;30000,00;167,4;2143,9;0,1
E11;115;172,5;Foz do Prata;operacao;49365,00;171,3;3776,0;1,2
E12;10;57,0;Boa Vista;operacao;705,75;41,6;548,1;15,4
E12;60;107,0;14 de Julho;operacao;100000,00;104,5;12877,0;2,5
E12;85;132,0;Vale do Leite;operacao;6400,00;130,9;753,4;1,1
E12;90;137,0;Vale Fundo;estudo;5,600;135,7;706,2;1,3
E12;90;137,0;Monte Claro;operacao;130000,00;132,5;12414,0;4,5
E12;95;142,0;Cotiporã;operacao;19500,00;138,1;2447,6;3,9
E12;105;152,0;Nelson José Zanelatto;estudo;5,690;147,2;2079,5;4,8
