cenario;trecho;area_km2;Q_m3s;h_m;z_talvegue_m;z_linha_dagua_m;declividade;n_manning
sem_barragem;277;562,4;886;5,11;20,0;25,1;0,002689999993890524;0,07
sem_barragem;278;565,3;890;2,59;19,0;21,6;0,002630000002682209;0,07
sem_barragem;279;570,9;897;6,11;17,5;23,6;0,0013099999632686377;0,069
sem_barragem;280;572,1;899;5,0;16,5;21,5;0,001610000035725534;0,068
sem_barragem;281;575,0;903;4,7;15,5;20,2;0,0015200000489130616;0,066
sem_barragem;282;576,5;905;7,56;14,0;21,6;0,0007200000109151006;0,068
sem_barragem;283;581,1;911;0,84;21,3;22,2;0,009499999694526196;0,065
sem_barragem;284;582,3;913;6,24;20,3;26,5;0,0010000000474974513;0,047
sem_barragem;285;596,6;932;1,16;20,0;21,1;0,001769999973475933;0,064
sem_barragem;286;605,7;944;0,37;20,7;21,0;0,19077999889850616;0,06
sem_barragem;287;608,0;947;5,23;232,0;237,2;0,003930000122636557;0,061
sem_barragem;288;610,3;950;5,54;228,1;233,6;0,002689999993890524;0,06
sem_barragem;289;614,4;955;0,79;17,6;18,4;0,18306000530719757;0,065
sem_barragem;290;616,6;958;2,83;15,5;18,3;0,0015399999683722854;0,06
sem_barragem;291;618,5;961;1,06;221,2;222,3;0,18336999416351318;0,052
sem_barragem;292;620,2;963;0,32;217,0;217,3;0,17831000685691833;0,063
sem_barragem;293;626,2;971;1,78;14,1;15,9;0,001979999942705035;0,046
sem_barragem;294;627,1;972;2,27;12,6;14,9;0,002360000042244792;0,035
sem_barragem;295;633,1;980;2,28;11,0;13,3;0,00215000007301569;0,063
sem_barragem;296;640,7;990;1,28;10,8;12,1;0,002300000051036477;0,061
sem_barragem;297;642,8;993;0,96;10,5;11,5;0,002240000059828162;0,038
sem_barragem;298;645,0;995;0,5;9,7;10,2;0,15000000596046448;0,048
sem_barragem;299;647,9;999;0,14;178,5;178,6;0,15015000104904175;0,063
sem_barragem;300;657,7;1012;1,76;171,0;172,8;0,14860999584197998;0,064
sem_barragem;301;666,1;1023;5,85;165,6;171,5;0,007089999970048666;0,064
sem_barragem;302;668,2;1026;5,2;161,0;166,2;0,006279999855905771;0,064
sem_barragem;303;669,2;1027;5,71;154,5;160,2;0,004360000137239695;0,061
sem_barragem;304;676,2;1036;5,29;151,5;156,8;0,0040799998678267;0,061
sem_barragem;305;685,2;1048;1,23;14,0;15,2;0,12264999747276306;0,069
sem_barragem;306;686,5;1050;2,23;12,1;14,3;0,002219999907538295;0,051
sem_barragem;307;688,9;1053;1,01;11,7;12,7;0,004769999999552965;0,043
sem_barragem;308;691,7;1056;0,65;10,6;11,3;0,11992999911308289;0,067
sem_barragem;309;692,6;1058;0,98;136,0;137,0;0,11527000367641449;0,047
sem_barragem;310;694,5;1060;0,8;9,8;10,6;0,11034999787807465;0,053
sem_barragem;311;695,3;1061;5,77;131,0;136,8;0,004360000137239695;0,064
sem_barragem;312;697,6;1064;0,78;123,9;124,7;0,10385999828577042;0,053
sem_barragem;313;698,4;1065;0,53;9,2;9,7;0,09872999787330627;0,043
sem_barragem;314;699,8;1067;1,38;39,0;40,4;0,03189999982714653;0,05
sem_barragem;315;701,5;1069;1,65;115,0;116,7;0,09855999797582626;0,058
sem_barragem;316;702,6;1071;5,45;110,5;116,0;0,00865000020712614;0,065
sem_barragem;317;704,5;1073;0,52;105,5;106,0;0,08844000101089478;0,052
sem_barragem;318;718,1;1091;3,07;38,5;41,6;0,06255999952554703;0,067
sem_barragem;319;719,0;1092;2,69;102,0;104,7;0,0580499991774559;0,065
sem_barragem;320;719,8;1093;3,12;69,1;72,2;0,05796999856829643;0,065
sem_barragem;321;724,6;1099;3,4;98,5;101,9;0,055810000747442245;0,066
sem_barragem;322;728,4;1104;5,01;37,0;42,0;0,0012499999720603228;0,067
sem_barragem;323;746,6;1127;1,86;36,2;38,0;0,1558299958705902;0,066
sem_barragem;324;746,9;1128;2,62;96,5;99,1;0,05592000111937523;0,063
sem_barragem;325;747,9;1129;2,56;35,5;38,1;0,0522099994122982;0,064
sem_barragem;326;748,4;1130;4,87;35,0;39,9;0,0008500000112690032;0,059
sem_barragem;327;748,9;1130;2,24;90,5;92,7;0,05150999873876572;0,059
sem_barragem;328;752,5;1135;4,9;88,0;92,9;0,004699999932199717;0,063
sem_barragem;329;754,9;1138;2,57;82,5;85,1;0,043209999799728394;0,065
