dist_montante_m;estaca_ras_m;x;y;cota_m;cota_talvegue_m
9100,0;30302,2;410733,6441322587;6745784,586372556;18,0;17,5
9150,0;30252,2;410756,70405506523;6745828,951223059;18,0;17,5
9200,0;30202,2;410779,7639778717;6745873,316073562;18,0;17,5
9250,0;30152,2;410802,8239006782;6745917,680924065;18,0;17,5
9300,0;30102,2;410825,88382348465;6745962,045774568;17,5;17,5
9350,0;30052,2;410848,94374629116;6746006,410625071;17,5;17,5
9400,0;30002,2;410872,0036690976;6746050,775475575;17,5;17,5
9450,0;29952,2;410896,1719250125;6746094,525046416;17,5;17,5
9500,0;29902,2;410921,63024107047;6746137,558453712;17,5;17,5
9550,0;29852,2;410947,0885571284;6746180,591861008;17,5;17,5
9600,0;29802,2;410972,54687318637;6746223,625268303;17,5;17,5
9650,0;29752,2;410998,0051892443;6746266,658675599;17,5;17,5
9700,0;29702,2;411023,46350530226;6746309,692082895;17,5;17,5
9750,0;29652,2;411048,9218213602;6746352,725490191;17,5;17,5
9800,0;29602,2;411074,38013741816;6746395,758897487;17,5;17,5
9850,0;29552,2;411099,8384534761;6746438,792304782;17,5;17,5
9900,0;29502,2;411125,29676953406;6746481,825712078;17,5;17,5
9950,0;29452,2;411150,755085592;6746524,859119374;17,5;17,5
10000,0;29402,2;411176,21340164996;6746567,89252667;17,5;17,5
10050,0;29352,2;411201,3755469127;6746611,080357401;17,5;17,5
10100,0;29302,2;411222,0838037307;6746656,590445288;17,5;17,5
10150,0;29252,2;411242,7920605487;6746702,100533176;17,5;17,0
10200,0;29202,2;411263,5003173667;6746747,610621064;17,5;17,0
10250,0;29152,2;411284,2085741847;6746793,120708952;17,5;17,0
10300,0;29102,2;411304,9168310027;6746838,6307968395;17,5;17,0
10350,0;29052,2;411325,62508782063;6746884,140884727;17,0;17,0
10400,0;29002,2;411346,33334463864;6746929,650972615;17,0;17,0
10450,0;28952,2;411367,04160145664;6746975,161060503;17,0;17,0
10500,0;28902,2;411383,845655321;6747020,995168075;17,0;17,0
10550,0;28852,2;411370,9230346672;6747069,296367599;17,0;17,0
10600,0;28802,2;411358,00041401334;6747117,597567122;17,0;17,0
10650,0;28752,2;411345,0777933595;6747165,898766646;17,0;17,0
10700,0;28702,2;411332,15517270565;6747214,19996617;17,0;17,0
10750,0;28652,2;411319,23255205184;6747262,501165694;17,1299991607666;17,0
10800,0;28602,2;411306,309931398;6747310,802365217;17,0;17,0
10850,0;28552,2;411293,38731074415;6747359,103564742;17,0;17,0
10900,0;28502,2;411280,46469009033;6747407,404764266;17,0;17,0
10950,0;28452,2;411267,54206943646;6747455,7059637895;17,0;17,0
11000,0;28402,2;411234,9694259287;6747484,846493103;17,0;17,0
11050,0;28352,2;411187,00940503017;6747498,982843247;17,0;17,0
11100,0;28302,2;411139,0493841316;6747513,119193392;17,0;17,0
11150,0;28252,2;411091,08936323307;6747527,2555435365;17,0;17,0
11200,0;28202,2;411043,1293423345;6747541,391893681;17,0;16,5
11250,0;28152,2;410995,16932143597;6747555,528243826;17,0;16,5
11300,0;28102,2;410947,2093005374;6747569,66459397;17,0;16,5
11350,0;28052,2;410899,2492796389;6747583,800944115;17,0;16,5
11400,0;28002,2;410851,2892587404;6747597,93729426;16,5;16,5
11450,0;27952,2;410803,3292378418;6747612,073644404;16,5;16,5
11500,0;27902,2;410755,3692169433;6747626,209994549;16,5;16,5
11550,0;27852,2;410707,4091960447;6747640,346344694;16,5;16,5
11600,0;27802,2;410659,4491751462;6747654,482694838;16,5;16,5
11650,0;27752,2;410610,71766865347;6747663,361456782;16,5;16,5
11700,0;27702,2;410560,71823500097;6747663,599436674;16,5;16,5
11750,0;27652,2;410510,71880134847;6747663,837416566;16,5;16,5
11800,0;27602,2;410460,719367696;6747664,075396459;16,5;16,5
11850,0;27552,2;410410,7199340435;6747664,31337635;16,5;16,5
11900,0;27502,2;410360,720500391;6747664,551356243;16,5;16,5
11950,0;27452,2;410310,7210667384;6747664,789336135;16,5;16,5
12000,0;27402,2;410260,7216330859;6747665,027316027;16,5;16,5
12050,0;27352,2;410210,7221994334;6747665,265295919;16,5;16,5
12100,0;27302,2;410162,78469965956;6747657,30018453;16,5;16,5
12150,0;27252,2;410118,8404661375;6747633,448468865;16,5;16,5
12200,0;27202,2;410074,8962326154;6747609,5967532005;16,5;16,5
12250,0;27152,2;410030,9519990933;6747585,745037535;16,5;16,5
12300,0;27102,2;409987,00776557124;6747561,893321871;16,5;16,0
12350,0;27052,2;409943,0635320491;6747538,0416062055;16,5;16,0
12400,0;27002,2;409899,119298527;6747514,189890541;16,5;16,0
12450,0;26952,2;409855,17506500497;6747490,338174877;16,5;16,0
12500,0;26902,2;409811,23083148286;6747466,486459211;16,0;16,0
12550,0;26852,2;409767,2865979608;6747442,634743547;16,0;16,0
12600,0;26802,2;409731,92752898973;6747410,265796304;16,0;16,0
12650,0;26752,2;409708,42566504324;6747366,1334681185;16,0;16,0
12700,0;26702,2;409684,92380109674;6747322,001139933;16,0;16,0
12750,0;26652,2;409661,42193715024;6747277,868811748;16,0;16,0
12800,0;26602,2;409637,9200732038;6747233,736483563;16,0;16,0
12850,0;26552,2;409614,4182092573;6747189,6041553775;16,0;16,0
12900,0;26502,2;409590,9163453108;6747145,471827193;16,0;16,0
12950,0;26452,2;409567,4144813643;6747101,339499008;16,0;16,0
13000,0;26402,2;409543,9126174178;6747057,207170823;16,0;16,0
13050,0;26352,2;409521,4749605644;6747012,576730456;16,0;16,0
13100,0;26302,2;409502,6410621998;6746966,259516891;16,0;16,0
13150,0;26252,2;409483,80716383515;6746919,942303327;16,0;16,0
13200,0;26202,2;409464,97326547053;6746873,625089762;16,0;16,0
13250,0;26152,2;409446,1393671059;6746827,307876198;16,0;16,0
13300,0;26102,2;409427,3054687413;6746780,9906626325;16,0;16,0
13350,0;26052,2;409408,47157037666;6746734,673449068;16,0;16,0
13400,0;26002,2;409389,63767201203;6746688,356235503;16,0;15,5
13450,0;25952,2;409370,80377364747;6746642,039021939;16,0;15,5
13500,0;25902,2;409340,60448057303;6746605,889903157;16,0;15,5
13550,0;25852,2;409296,66070969176;6746582,037335146;16,0;15,5
13600,0;25802,2;409252,7169388104;6746558,1847671345;15,5;15,5
13650,0;25752,2;409208,7731679291;6746534,332199124;15,5;15,5
13700,0;25702,2;409164,82939704775;6746510,479631112;21,610000610351562;15,5
13750,0;25652,2;409120,8856261665;6746486,627063101;15,5;15,5
13800,0;25602,2;409076,94185528514;6746462,774495089;15,5;15,5
13850,0;25552,2;409032,9980844038;6746438,921927079;15,5;15,5
13900,0;25502,2;408988,887224608;6746415,380234822;15,5;15,5
13950,0;25452,2;408944,74849873286;6746391,890388545;15,5;15,5
14000,0;25402,2;408900,6097728578;6746368,400542268;15,5;15,5
14050,0;25352,2;408856,47104698274;6746344,910695991;15,5;15,5
14100,0;25302,2;408812,3323211077;6746321,4208497135;15,5;15,5
14150,0;25252,2;408768,1935952326;6746297,931003436;15,5;15,5
14200,0;25202,2;408724,05486935755;6746274,441157158;15,5;15,5
14250,0;25152,2;408679,9161434825;6746250,951310881;15,5;15,5
14300,0;25102,2;408636,43768533715;6746226,471828118;15,5;15,5
14350,0;25052,2;408597,8009507551;6746194,7353705205;15,5;15,5
14400,0;25002,2;408559,16421617294;6746162,998912923;15,5;15,5
14450,0;24952,2;408520,5274815908;6746131,262455326;15,5;15,0
14500,0;24902,2;408481,8907470087;6746099,525997728;15,5;15,0
14550,0;24852,2;408443,2540124266;6746067,789540131;15,5;15,0
14600,0;24802,2;408404,61727784446;6746036,053082533;15,5;15,0
14650,0;24752,2;408365,9805432624;6746004,316624936;15,0;15,0
14700,0;24702,2;408327,34380868025;6745972,580167338;15,0;15,0
14750,0;24652,2;408288,7070740981;6745940,843709741;15,0;15,0
14800,0;24602,2;408250,07033951604;6745909,107252143;15,0;15,0
14850,0;24552,2;408211,4336049339;6745877,370794546;15,0;15,0
14900,0;24502,2;408172,7968703518;6745845,634336948;15,0;15,0
14950,0;24452,2;408134,1601357697;6745813,897879351;15,0;15,0
15000,0;24402,2;408095,52340118756;6745782,161421754;15,0;15,0
15050,0;24352,2;408056,8866666055;6745750,424964157;15,0;15,0
15100,0;24302,2;408018,24993202335;6745718,6885065595;15,0;15,0
15150,0;24252,2;407979,6131974412;6745686,952048962;15,0;15,0
15200,0;24202,2;407942,50376771286;6745653,554602809;15,0;15,0
15250,0;24152,2;407907,64434982673;6745617,710203182;15,0;15,0
15300,0;24102,2;407872,78493194055;6745581,865803555;15,0;15,0
15350,0;24052,2;407837,9255140544;6745546,021403927;15,0;15,0
15400,0;24002,2;407803,0660961683;6745510,1770043;15,0;15,0
15450,0;23952,2;407768,2066782821;6745474,332604673;15,0;15,0
15500,0;23902,2;407733,347260396;6745438,488205045;15,0;15,0
15550,0;23852,2;407698,4878425099;6745402,643805418;15,0;14,5
15600,0;23802,2;407663,62842462375;6745366,799405791;15,0;14,5
15650,0;23752,2;407628,76900673757;6745330,955006164;15,0;14,5
15700,0;23702,2;407593,90958885144;6745295,110606536;15,0;14,5
15750,0;23652,2;407559,0501709653;6745259,266206909;14,5;14,5
15800,0;23602,2;407524,1907530792;6745223,421807282;14,5;14,5
15850,0;23552,2;407489,331335193;6745187,577407654;14,5;14,5
15900,0;23502,2;407454,4719173069;6745151,733008027;14,5;14,5
15950,0;23452,2;407419,61249942076;6745115,8886084;14,5;14,5
16000,0;23402,2;407384,7530815346;6745080,0442087725;14,5;14,5
16050,0;23352,2;407349,89366364846;6745044,199809146;14,5;14,5
16100,0;23302,2;407315,03424576233;6745008,355409519;14,5;14,5
16150,0;23252,2;407311,1104824199;6744963,69210565;14,5;14,5
16200,0;23202,2;407321,8294105958;6744914,85457317;14,5;14,5
16250,0;23152,2;407332,54833877174;6744866,0170406895;14,5;14,5
16300,0;23102,2;407343,2672669477;6744817,179508209;14,5;14,5
16350,0;23052,2;407353,98619512364;6744768,341975729;14,5;14,0
16400,0;23002,2;407364,70512329956;6744719,504443249;14,5;14,0
16450,0;22952,2;407378,8998796934;6744672,801591937;14,5;14,0
16500,0;22902,2;407417,6102844085;6744641,155034987;14,5;14,0
16550,0;22852,2;407456,3206891236;6744609,508478037;14,0;14,0
16600,0;22802,2;407495,0310938387;6744577,861921087;14,0;14,0
16650,0;22752,2;407533,7414985538;6744546,215364137;14,0;14,0
16700,0;22702,2;407572,4519032688;6744514,568807187;14,0;14,0
16750,0;22652,2;407611,1623079839;6744482,922250236;14,0;14,0
16800,0;22602,2;407649,872712699;6744451,275693286;14,0;14,0
16850,0;22552,2;407688,5831174141;6744419,629136336;14,0;14,0
16900,0;22502,2;407735,58912663197;6744402,797189914;14,0;14,0
16950,0;22452,2;407782,8000349923;6744386,331160283;14,0;14,0
17000,0;22402,2;407830,01094335265;6744369,865130653;14,0;14,0
17050,0;22352,2;407877,22185171297;6744353,399101022;14,0;14,0
17100,0;22302,2;407924,4327600733;6744336,933071392;14,0;14,0
17150,0;22252,2;407971,6436684336;6744320,467041761;14,0;14,0
17200,0;22202,2;408018,85457679396;6744304,001012131;14,0;14,0
17250,0;22152,2;408066,0654851543;6744287,5349825;14,0;14,0
17300,0;22102,2;408113,2763935146;6744271,06895287;14,0;14,0
17350,0;22052,2;408160,4873018749;6744254,602923239;14,0;14,0
17400,0;22002,2;408207,6982102352;6744238,136893609;14,0;14,0
17450,0;21952,2;408254,9091185956;6744221,670863978;14,0;14,0
17500,0;21902,2;408302,1200269559;6744205,204834348;14,550000190734863;14,0
17550,0;21852,2;408349,3309353162;6744188,738804717;14,680000305175781;14,0
17600,0;21802,2;408396,54184367653;6744172,272775087;15,25;14,0
17650,0;21752,2;408443,75275203685;6744155,806745456;14,539999961853027;14,0
17700,0;21702,2;408490,9636603972;6744139,340715826;14,0;14,0
17750,0;21652,2;408538,17456875753;6744122,874686195;14,0;14,0
17800,0;21602,2;408585,29408652085;6744106,152987458;14,0;14,0
17850,0;21552,2;408632,24520473625;6744088,96018378;14,0;14,0
17900,0;21502,2;408679,19632295164;6744071,767380102;14,0;14,0
17950,0;21452,2;408726,14744116704;6744054,574576423;14,0;14,0
18000,0;21402,2;408773,0985593825;6744037,3817727445;14,0;14,0
18050,0;21352,2;408820,0496775979;6744020,188969066;14,0;14,0
18100,0;21302,2;408867,0007958133;6744002,996165387;14,0;14,0
18150,0;21252,2;408913,9519140287;6743985,803361709;14,0;14,0
18200,0;21202,2;408960,90303224407;6743968,610558031;14,0;14,0
18250,0;21152,2;409007,85415045946;6743951,417754353;14,0;14,0
18300,0;21102,2;409054,8052686749;6743934,224950674;14,0;14,0
18350,0;21052,2;409101,7563868903;6743917,032146996;14,0;14,0
18400,0;21002,2;409148,7075051057;6743899,839343318;14,0;14,0
18450,0;20952,2;409195,6586233211;6743882,646539639;14,0;14,0
